"Asset values and income are colored to denote the change in value from the previous year's filing (increase, decrease, no change)
",,,,,,,,,,,,,,,,,,,,,,,
2017_ID #,New 2017 Asset,2017_Page,2017_Description,2017_Underlying Assets,2017_Location,2017_EIF,2017_attached schedule,2017_Min Value,2017_Max Value,%Change_Value,2016_Min Value,2016_Max Value,2017_Income Type,2017_Min Income,2017_Max Income,2017_Income Exact,%Change_Income,2016_Min Income,2016_Max Income,2016_Income Exact,2016_ID #,2016_Page,2016_Description
81,,20,Trump Marks Menswear LLC,bank account/license deal ,"New York, NY",N/A,352,$0,"$1,000",0%,$0,"$1,000",royalties,"$100,001","$1,000,000",,0%,"$100,001","$1,000,000",,81,20,Trump Marks Menswear LLC
82,,20,Trump Marks New Rochelle LLC,bank account/license deal ,"New York, NY",N/A,359,$0,"$1,000",0%,$0,"$1,000",royalties,"$5,001","$15,000",,-98%,"$100,001","$1,000,000",,82,20,Trump Marks New Rochelle LLC
83,,20,Trump Marks Panama LLC,bank account/license deal ,"New York, NY",N/A,363,$0,"$1,000",-98%,"$15,001","$50,000",royalties,"$100,001","$1,000,000",,-82%,"$1,000,001","$5,000,000",,83,20,Trump Marks Panama LLC
87,,21,Trump Marks Waikiki LLC,bank account/license deal ,"New York, NY",N/A,391,$0,"$1,000",0%,$0,"$1,000",royalties,"$100,001","$1,000,000",,0%,"$100,001","$1,000,000",,87,20,Trump Marks Waikiki LLC
90,,21,Trump Miami Resort Management LLC,bank account,"Miami, FL",N/A,396,"$1,000,001","$5,000,000",300%,"$500,000","$1,000,000",,$0,$201,,0%,$0,$201,,90,20,Trump Miami Resort Management LLC
91,,21,Trump Model Management LLC,modeling agency,"New York, NY",N/A,398,"$250,001","$500,000",-87%,"$1,000,001","$5,000,000",commissions,,,"$1,870,632",-2%,,,"$1,910,677",91,21,Trump Model Management LLC
92,,21,Trump National Golf Club - Colts Neck,golf club,"Colts Neck, NJ",N/A,399,"$50,000,001","$50,000,001",0%,"$50,000,001","$50,000,001",golf related revenue,,,"$7,708,047",3%,,,"$7,512,891",92,21,Trump National Golf Club - Colts Neck
93,,21,Trump National Golf Club - Westchester,golf club,"Briarcliff Manor, NY",N/A,401,"$50,000,001","$50,000,001",0%,"$50,000,001","$50,000,001",golf related revenue,,,"$9,771,428",-6%,,,"$10,313,031",93,21,Trump National Golf Club - Westchester
94,,21,Trump National Golf Club - Washington DC,golf club,"Potomac Falls, VA",N/A,403,"$50,000,001","$50,000,001",0%,"$50,000,001","$50,000,001",golf related revenue,,,"$17,508,270",0%,,,"$17,497,594",94,21,Trump National Golf Club - Washington DC
95,,21,Trump Old Post Office LLC,hotel,Washington DC,N/A,408,"$50,000,001","$50,000,001",0%,"$50,000,001","$50,000,001",hotel related revenue,,,"$19,666,129",100%,"$100,001","$1,000,000",,95,21,Trump Old Post Office LLC
97,,21,Miss Universe LLLP,bank account,,N/A,413,"$50,001","$100,000",14900%,$0,"$1,000",beauty pagent related revenue,,,"$10,973,722",-349%,,,"$49,286,396",97,21,Miss Universe LLLP
98,,21,Trump Palace/Parc LLC,commercial real estate,"New York, NY",N/A,414,"$1,000,001","$5,000,000",0%,"$1,000,001","$5,000,000",rent,"$100,001","$1,000,000",,0%,"$100,001","$1,000,000",,98,21,Trump Palace/Parc LLC
99,,22,Trump Park Avenue LLC,residential & commercial real estate,"New York, NY",N/A,420,"$50,000,001","$50,000,001",0%,"$50,000,001","$50,000,001",rent/condo sales,"$5,000,000","$5,000,000","$29,943,500",-48%,"$5,000,001","$5,000,001","$44,300,000",99,21,Trump Park Avenue LLC
100,,22,Trump Plaza LLC,residential & commercial real estate,"New York, NY",N/A,424,"$25,000,001","$50,000,000",0%,"$25,000,001","$50,000,000",rent,"$1,000,001","$5,000,000",,0%,"$1,000,001","$5,000,000",,100,21,Trump Plaza LLC
101,,22,Trump Prodcutions LLC,production company,"New York, NY",N/A,426,"$1,000,001","$5,000,000",0%,"$1,000,001","$5,000,000",production revenue,,,"$1,103,161",-435%,,,"$5,900,433",101,21,Trump Prodcutions LLC
103,,22,Trump Restaurants LLC,restaurant,"New York, NY",N/A,430,"$1,000,001","$5,000,000",0%,"$1,000,001","$5,000,000",food & beverage related sales,,,"$4,830,768",19%,,,"$3,906,202",103,22,Trump Restaurants LLC
104,,22,Trump Ruffin Tower I LLC,commercial real estate,"Las Vegas, NV",N/A,434,"$50,000,001","$50,000,001",0%,"$50,000,001","$50,000,001",condo sales/hotel related revenue,,,"$41,519,037",28%,,,"$29,785,433",104,22,Trump Ruffin Tower I LLC
106,,22,Trump Scotsborough Square LLC,residential real estate,"Scotsborough Square, VA",N/A,438,"$500,001","$1,000,000",0%,"$500,001","$1,000,000",rent,"$5,001","$15,000",,0%,"$5,001","$15,000",,106,22,Trump Scotsborough Square LLC
